,Entity,Year,Annual_CO2_emissions_tonnes
0,Africa,1950,94941568.0
1,Africa,1951,101203344.0
2,Africa,1952,110425632.0
3,Africa,1953,112078096.0
4,Africa,1954,117640048.0
5,Africa,1955,129529728.0
6,Africa,1956,135260224.0
7,Africa,1957,141752832.0
8,Africa,1958,148769392.0
9,Africa,1959,147841143.3
10,Africa,1960,156567067.8
11,Africa,1961,161994254.1
12,Africa,1962,166334786.6
13,Africa,1963,176334743.0
14,Africa,1964,193639229.6
15,Africa,1965,213634280.9
16,Africa,1966,221081974.5
17,Africa,1967,237045012.2
18,Africa,1968,257282104.4
19,Africa,1969,277915809.1
20,Africa,1970,302623753.9
21,Africa,1971,331868172.1
22,Africa,1972,351877790.8
23,Africa,1973,378012574.7
24,Africa,1974,388408344.3
25,Africa,1975,387307167.4
26,Africa,1976,420186590.8
27,Africa,1977,433019043.8
28,Africa,1978,462508407.8
29,Africa,1979,499039438.4
30,Africa,1980,535662719.8
31,Africa,1981,548541106.2
32,Africa,1982,571681434.7
33,Africa,1983,594483205.9
34,Africa,1984,649208757.0
35,Africa,1985,665646575.4
36,Africa,1986,689587818.6
37,Africa,1987,689585630.7
38,Africa,1988,724597302.5
39,Africa,1989,697746148.0
40,Africa,1990,657850152.1
41,Africa,1991,686854278.6
42,Africa,1992,669557139.1
43,Africa,1993,709543245.0
44,Africa,1994,720231497.0
45,Africa,1995,775510660.8
46,Africa,1996,793572765.9
47,Africa,1997,812679985.0
48,Africa,1998,835329976.3
49,Africa,1999,828335346.2
50,Africa,2000,884531576.9
51,Africa,2001,879118731.4
52,Africa,2002,884151838.9
53,Africa,2003,961971967.9
54,Africa,2004,1033091840.0
55,Africa,2005,1044075215.0
56,Africa,2006,1083798148.0
57,Africa,2007,1126332954.0
58,Africa,2008,1178142922.0
59,Africa,2009,1188275614.0
60,Africa,2010,1193783772.0
61,Africa,2011,1198373015.0
62,Africa,2012,1233842174.0
63,Africa,2013,1250643564.0
64,Africa,2014,1290489212.0
65,Africa,2015,1289003257.0
66,Africa,2016,1310656389.0
67,Africa,2017,1331739959.0
68,Americas (other),1950,316393728.0
69,Americas (other),1951,353971712.0
70,Americas (other),1952,359068336.0
71,Americas (other),1953,360009984.0
72,Americas (other),1954,380385488.0
73,Americas (other),1955,408418752.0
74,Americas (other),1956,448905952.0
75,Americas (other),1957,461125392.0
76,Americas (other),1958,455164064.0
77,Americas (other),1959,480131814.7
78,Americas (other),1960,491067101.5
79,Americas (other),1961,499337985.7
80,Americas (other),1962,531233509.9
81,Americas (other),1963,535195164.6
82,Americas (other),1964,587467518.2
83,Americas (other),1965,612410345.3
84,Americas (other),1966,637055062.6
85,Americas (other),1967,688973699.6
86,Americas (other),1968,736350850.2
87,Americas (other),1969,777751653.6
88,Americas (other),1970,860650880.4
89,Americas (other),1971,897045881.8
90,Americas (other),1972,951501259.6
91,Americas (other),1973,1004426215.0
92,Americas (other),1974,1046488129.0
93,Americas (other),1975,1061805869.0
94,Americas (other),1976,1106039317.0
95,Americas (other),1977,1136175350.0
96,Americas (other),1978,1196893132.0
97,Americas (other),1979,1277810108.0
98,Americas (other),1980,1319822694.0
99,Americas (other),1981,1297219740.0
100,Americas (other),1982,1305738555.0
101,Americas (other),1983,1258508351.0
102,Americas (other),1984,1289784767.0
103,Americas (other),1985,1313088437.0
104,Americas (other),1986,1315172226.0
105,Americas (other),1987,1386390338.0
106,Americas (other),1988,1434020538.0
107,Americas (other),1989,1501045944.0
108,Americas (other),1990,1463145039.0
109,Americas (other),1991,1470984012.0
110,Americas (other),1992,1503912671.0
111,Americas (other),1993,1542659203.0
112,Americas (other),1994,1596755862.0
113,Americas (other),1995,1619585528.0
114,Americas (other),1996,1688215148.0
115,Americas (other),1997,1766940091.0
116,Americas (other),1998,1848852641.0
117,Americas (other),1999,1890344212.0
118,Americas (other),2000,1907022738.0
119,Americas (other),2001,1930495800.0
120,Americas (other),2002,1952855792.0
121,Americas (other),2003,2003975573.0
122,Americas (other),2004,2011917498.0
123,Americas (other),2005,2076950414.0
124,Americas (other),2006,2114866379.0
125,Americas (other),2007,2168015893.0
126,Americas (other),2008,2226580254.0
127,Americas (other),2009,2157619435.0
128,Americas (other),2010,2253918886.0
129,Americas (other),2011,2294779338.0
130,Americas (other),2012,2375405727.0
131,Americas (other),2013,2406775095.0
132,Americas (other),2014,2443171356.0
133,Americas (other),2015,2435553763.0
134,Americas (other),2016,2415058074.0
135,Americas (other),2017,2398632318.0
136,Asia and Pacific (other),1950,205370864.0
137,Asia and Pacific (other),1951,235954272.0
138,Asia and Pacific (other),1952,254816544.0
139,Asia and Pacific (other),1953,272330464.0
140,Asia and Pacific (other),1954,287067072.0
141,Asia and Pacific (other),1955,304097344.0
142,Asia and Pacific (other),1956,331705584.0
143,Asia and Pacific (other),1957,361772368.0
144,Asia and Pacific (other),1958,369602336.0
145,Asia and Pacific (other),1959,604497587.9
146,Asia and Pacific (other),1960,668260063.4
147,Asia and Pacific (other),1961,741388922.5
148,Asia and Pacific (other),1962,779377430.3
149,Asia and Pacific (other),1963,847966032.0
150,Asia and Pacific (other),1964,921666074.6
151,Asia and Pacific (other),1965,997006916.3
152,Asia and Pacific (other),1966,1065341990.0
153,Asia and Pacific (other),1967,1186227083.0
154,Asia and Pacific (other),1968,1303008608.0
155,Asia and Pacific (other),1969,1439015994.0
156,Asia and Pacific (other),1970,1634675993.0
157,Asia and Pacific (other),1971,1738779828.0
158,Asia and Pacific (other),1972,1826052969.0
159,Asia and Pacific (other),1973,1953845863.0
160,Asia and Pacific (other),1974,1976266454.0
161,Asia and Pacific (other),1975,1983313384.0
162,Asia and Pacific (other),1976,2082393703.0
163,Asia and Pacific (other),1977,2189029391.0
164,Asia and Pacific (other),1978,2225627003.0
165,Asia and Pacific (other),1979,2322646613.0
166,Asia and Pacific (other),1980,2368006964.0
167,Asia and Pacific (other),1981,2345140651.0
168,Asia and Pacific (other),1982,2349841861.0
