,Entity,Code,Year,Other sources (tonnes),Waste (tonnes),Industry (tonnes),Residential & commercial (tonnes),Transport (tonnes),Agriculture (tonnes),Forestry (tonnes),Land use sources (tonnes),Energy (tonnes)
13727,World,OWID_WRL,1990,245984281.2,1174162886.4,1841272528.3,3793912777.3,4034907302.8,4572738230.9,1822872957.8,6587142015.8,15000412740.3
13728,World,OWID_WRL,1991,265327757.8,1183725542.9,1841626053.2,3784250101.9,4076790571.1,4551383387.7,1822878309.7,6599264156.8,14960812029.4
13729,World,OWID_WRL,1992,283411560.7,1194041609.3,1869619156.7,3568996623.4,4147299287.5,4529690669.099999,1822851398.3,6619455065.6,14963849236.2
13730,World,OWID_WRL,1993,239998624.6,1204999516.9,1872799290.1,3636701473.9,4201165784.7,4497533696.4,1822881369.7,6630558711.900001,15058724319.9
13731,World,OWID_WRL,1994,264090560.7,1218220286.3,1930665500.3,3514580799.8,4289624684.8,4528781697.8,1822890092.5,6643586198.3,15175051006.8
13732,World,OWID_WRL,1995,235533748.9,1227927803.8000002,2066060761.0,3561898428.8,4398471179.8,4574937640.4,1822898783.2,6656985428.8,15614063094.0
13733,World,OWID_WRL,1996,237642100.9,1238810294.1,2028427256.6,3686568973.8,4506396052.299999,4589670521.3,1822907442.0,6556937392.799999,16075090173.5
13734,World,OWID_WRL,1997,369305348.1,1242663180.4,2076515267.8,3550969509.200001,4593216695.9,4573245920.7,1822916069.3,7498318289.3,16233902385.9
13735,World,OWID_WRL,1998,270221026.6,1249042007.9,2045360362.3,3334553297.2,4729964275.4,4607203187.400001,1822924665.3,6962587128.3,16496794598.4
13736,World,OWID_WRL,1999,234133390.0,1260524298.3,2090193244.6,3414223165.0,4843411705.6,4654864806.200001,1822933230.3,6621845432.3,16412740295.3
13737,World,OWID_WRL,2000,226667513.3,1274892049.8,2129788778.1,3426560816.6,4913474793.8,4641465939.2,1822941764.6,6465048556.900001,16896137347.3
13738,World,OWID_WRL,2001,236221867.8,1288424771.9,2168578841.7000003,3466541006.0,4962240075.5,4667997368.599999,2199682889.8,5768639036.3,16919038179.099997
13739,World,OWID_WRL,2002,264247529.90000004,1310352715.0,2256035276.1,3452970704.1000004,5112412644.1,4674280751.299999,2199682889.8,6380846020.1,17333736290.7
13740,World,OWID_WRL,2003,242417243.5,1333970293.2,2397841435.6,3561393197.9,5208609488.400001,4702335656.8,2199682889.8,6148654398.900001,18282450289.7
13741,World,OWID_WRL,2004,248000398.3,1352517852.7,2552786436.8,3630482700.1,5361014707.2,4803971179.8,2199682889.8,6259929059.5,19343651924.2
13742,World,OWID_WRL,2005,254974250.3,1367595978.6,2685668263.7,3642735819.2,5445622342.9,4853464819.5,2199682889.8,6167367158.0,20013905286.2
13743,World,OWID_WRL,2006,295345553.5,1391938622.7,2864067897.4,3613914915.4,5541771349.0,4906532919.200001,1179298845.7,5973216128.2,20845974017.5
13744,World,OWID_WRL,2007,275968832.1,1405855704.4,3030235695.4,3613522339.4,5671492497.9,4994813715.3,1179298845.7,5620777839.9,21695119855.5
13745,World,OWID_WRL,2008,247115444.2,1420437211.3000002,3070723718.3,3753097021.6,5469370690.5,5013849701.2,1179298845.7,5685810401.4,22409320416.6
13746,World,OWID_WRL,2009,269252148.9,1429540775.5,3181661281.7000003,3678458395.2,5427910283.099999,5025267805.8,1179298845.7,5802564286.2,22135741281.1
13747,World,OWID_WRL,2010,267609406.4,1445681067.2,3466678282.6,3743569922.3,5542594166.5,5077484952.3,1179298845.7,5542765250.7,23237500862.5
