,Entity,Year,Median,Upper,Lower
0,Global,1850,-0.373,-0.33899999999999997,-0.425
1,Global,1851,-0.218,-0.184,-0.27399999999999997
2,Global,1852,-0.228,-0.196,-0.28
3,Global,1853,-0.26899999999999996,-0.239,-0.321
4,Global,1854,-0.248,-0.218,-0.301
5,Global,1855,-0.272,-0.24100000000000002,-0.324
6,Global,1856,-0.358,-0.327,-0.413
7,Global,1857,-0.461,-0.431,-0.512
8,Global,1858,-0.467,-0.435,-0.521
9,Global,1859,-0.284,-0.249,-0.34
10,Global,1860,-0.34299999999999997,-0.31,-0.405
11,Global,1861,-0.40700000000000003,-0.35600000000000004,-0.484
12,Global,1862,-0.524,-0.47100000000000003,-0.597
13,Global,1863,-0.278,-0.226,-0.359
14,Global,1864,-0.494,-0.44799999999999995,-0.564
15,Global,1865,-0.27899999999999997,-0.23199999999999998,-0.358
16,Global,1866,-0.251,-0.19699999999999998,-0.33799999999999997
17,Global,1867,-0.321,-0.265,-0.406
18,Global,1868,-0.23800000000000002,-0.185,-0.326
19,Global,1869,-0.262,-0.221,-0.33299999999999996
20,Global,1870,-0.276,-0.239,-0.34
21,Global,1871,-0.335,-0.293,-0.40399999999999997
22,Global,1872,-0.22699999999999998,-0.187,-0.29
23,Global,1873,-0.304,-0.258,-0.364
24,Global,1874,-0.368,-0.325,-0.435
25,Global,1875,-0.395,-0.35200000000000004,-0.46399999999999997
26,Global,1876,-0.384,-0.335,-0.45299999999999996
27,Global,1877,-0.075,-0.026000000000000002,-0.146
28,Global,1878,0.035,0.084,-0.026000000000000002
29,Global,1879,-0.23,-0.18899999999999997,-0.29100000000000004
30,Global,1880,-0.22699999999999998,-0.182,-0.28800000000000003
31,Global,1881,-0.2,-0.157,-0.259
32,Global,1882,-0.213,-0.171,-0.27399999999999997
33,Global,1883,-0.29600000000000004,-0.251,-0.35
34,Global,1884,-0.409,-0.373,-0.457
35,Global,1885,-0.389,-0.354,-0.444
36,Global,1886,-0.36700000000000005,-0.33399999999999996,-0.419
37,Global,1887,-0.418,-0.382,-0.47600000000000003
38,Global,1888,-0.307,-0.268,-0.359
39,Global,1889,-0.171,-0.129,-0.235
40,Global,1890,-0.41600000000000004,-0.369,-0.484
41,Global,1891,-0.33,-0.276,-0.408
42,Global,1892,-0.455,-0.4,-0.526
43,Global,1893,-0.473,-0.41600000000000004,-0.547
44,Global,1894,-0.41,-0.35200000000000004,-0.48700000000000004
45,Global,1895,-0.39,-0.335,-0.46
46,Global,1896,-0.18600000000000003,-0.136,-0.255
47,Global,1897,-0.20600000000000002,-0.153,-0.273
48,Global,1898,-0.41200000000000003,-0.36200000000000004,-0.479
49,Global,1899,-0.289,-0.231,-0.355
50,Global,1900,-0.203,-0.147,-0.272
51,Global,1901,-0.259,-0.20800000000000002,-0.326
52,Global,1902,-0.402,-0.355,-0.461
53,Global,1903,-0.479,-0.431,-0.5429999999999999
54,Global,1904,-0.52,-0.47100000000000003,-0.58
55,Global,1905,-0.377,-0.326,-0.43799999999999994
56,Global,1906,-0.28300000000000003,-0.23199999999999998,-0.33799999999999997
57,Global,1907,-0.465,-0.423,-0.523
58,Global,1908,-0.511,-0.46799999999999997,-0.563
59,Global,1909,-0.522,-0.47600000000000003,-0.5760000000000001
60,Global,1910,-0.49,-0.44799999999999995,-0.547
61,Global,1911,-0.544,-0.498,-0.595
62,Global,1912,-0.43700000000000006,-0.392,-0.486
63,Global,1913,-0.424,-0.381,-0.47100000000000003
64,Global,1914,-0.244,-0.19699999999999998,-0.29100000000000004
65,Global,1915,-0.141,-0.085,-0.20199999999999999
66,Global,1916,-0.38299999999999995,-0.32799999999999996,-0.43700000000000006
67,Global,1917,-0.46799999999999997,-0.413,-0.525
68,Global,1918,-0.33299999999999996,-0.27,-0.396
69,Global,1919,-0.275,-0.217,-0.327
70,Global,1920,-0.247,-0.198,-0.29600000000000004
71,Global,1921,-0.187,-0.149,-0.237
72,Global,1922,-0.302,-0.262,-0.34600000000000003
73,Global,1923,-0.276,-0.237,-0.32299999999999995
74,Global,1924,-0.294,-0.259,-0.34
75,Global,1925,-0.215,-0.17800000000000002,-0.265
76,Global,1926,-0.10800000000000001,-0.07,-0.155
77,Global,1927,-0.21,-0.177,-0.253
78,Global,1928,-0.20600000000000002,-0.174,-0.253
79,Global,1929,-0.35,-0.32,-0.39399999999999996
80,Global,1930,-0.13699999999999998,-0.10400000000000001,-0.18100000000000002
81,Global,1931,-0.087,-0.055,-0.133
82,Global,1932,-0.13699999999999998,-0.107,-0.183
83,Global,1933,-0.273,-0.24,-0.32
84,Global,1934,-0.131,-0.1,-0.177
85,Global,1935,-0.17800000000000002,-0.15,-0.221
86,Global,1936,-0.147,-0.12,-0.18600000000000003
87,Global,1937,-0.026000000000000002,0.001,-0.064
88,Global,1938,-0.006,0.017,-0.044000000000000004
89,Global,1939,-0.052000000000000005,-0.028999999999999998,-0.08800000000000001
90,Global,1940,0.013999999999999999,0.045,-0.018000000000000002
91,Global,1941,0.02,0.053,-0.021
92,Global,1942,-0.027000000000000003,0.015,-0.081
93,Global,1943,-0.004,0.036000000000000004,-0.055999999999999994
94,Global,1944,0.14400000000000002,0.18,0.094
95,Global,1945,0.025,0.059000000000000004,-0.017
96,Global,1946,-0.071,-0.042,-0.113
97,Global,1947,-0.038,0.001,-0.098
98,Global,1948,-0.039,0.0,-0.10099999999999999
99,Global,1949,-0.07400000000000001,-0.036000000000000004,-0.11900000000000001
