,Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,North America,,118.7162,140.7847,190.13275,237.7285,276.67476,379.94628,494.2271,676.27757,768.49596,888.303,
1,Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,
2,Canada,CAN,4.5,4.5,4.9,4.9,6,5.4,21.6,25.7,27.81,34.2,
3,Greenland,GRL,0,0,0,0,0,0,0,0,0,0,
4,Mexico,MEX,0,0,0,0,0,0,0.1,0.1,0.103,0.4,
5,Saint Pierre and Miquelon,SPM,0,0,0,0,0,0,0,0,0,0,
6,United States,USA,114.2162,136.2847,185.23275,232.8285,270.67476,374.54628,472.5271,650.47757,740.58296,853.703,
7,Central & South America,,142.59798,161.38807,145.33577,178.31824,184.3888,201.67622,275.60815,364.37384,438.07631,455.46686,
8,Antarctica,,0,0,0,0,0,0,0,0,0,0,
9,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,
10,Argentina,ARG,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.55,11.9,
11,Aruba,ABW,0,0,0,0,0,0,0,0,0,0,
12,Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0
13,Barbados,BRB,0,0,0,0,0,0.0003,0.0003,0.001,0.001,0.001,
14,Belize,BLZ,0,0,0,0,0,0,0,0,0,0,
15,Bolivia,BOL,0,0,0,0,0,0,0,0,0,0,
16,Brazil,BRA,141.37798,160.16807,144.01577,177.11824,181.9578,195.22592,268.47785,355.65284,420.26531,424.33586,
17,Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,
18,Chile,CHL,0,0,0,0,0,0,0,0,0,0,
19,Colombia,COL,0,0,0,0,0.5,4.6,4.8,5.8,11.3,12,
20,Costa Rica,CRI,0,0,0,0,0,0,0.05,0.05,0.5,0.5,
21,Cuba,CUB,1,1,1.1,1,1,0.7,0.4,0.3,0.3,0.3,
22,Dominica,DMA,0,0,0,0,0,0,0,0,0,0,
23,Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,
24,Ecuador,ECU,0,0,0,0,0,0,0,0,0,0.2,
25,El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,
26,Falkland Islands (Islas Malvinas),,0,0,0,0,0,0,0,0,0,0,
27,French Guiana,GUF,0,0,0,0,0,0,0,0,0,0,
28,Grenada,GRD,0,0,0,0,0,0,0,0,0,0,
29,Guadeloupe,GLP,0,0,0,0,0,0,0,0,0,0,
30,Guatemala,GTM,0,0,0,0,0,0,0,0,0.01,0.01,
31,Guyana,GUY,0,0,0,0,0,0,0,0,0,0,
32,Haiti,HTI,0,0,0,0,0,0,0,0,0,0,
33,Honduras,HND,0,0,0,0,0.001,0.01,0.02,0.02,0.01,0.02,
34,Jamaica,JAM,0,0,0,0,0,0,0,0.1,1,1,
35,Martinique,MTQ,0,0,0,0,0,0,0,0,0,0,
36,Montserrat,MSR,0,0,0,0,0,0,0,0,0,0,
37,Netherlands Antilles,,0,0,0,0,0,0,0,0,0,0,
38,Nicaragua,NIC,0,0,0,0,0,0,0,0,0,0,
39,Panama,PAN,0,0,0,0,0,0,0,0,0,0,
40,Paraguay,PRY,0.02,0.02,0.02,0,0.6,0.8,1.1,1.6,2,2.4,
41,Peru,PER,0,0,0,0,0,0,0.4,0.5,2,2.5,
42,Puerto Rico,,0,0,0,0,0,0,0,0,0,0,
43,Saint Kitts and Nevis,KNA,0,0,0,0,0,0,0,0,0,0,
44,Saint Lucia,LCA,0,0,0,0,0,0,0,0,0,0,
45,Saint Vincent/Grenadines,,0,0,0,0,0,0,0,0,0,0,
46,Suriname,SUR,0,0,0,0,0,0,0,0,0,0,
47,Trinidad and Tobago,TTO,0,0,0,0,0,0,0,0,0,0,
48,Turks and Caicos Islands,TCA,0,0,0,0,0,0,0,0,0,0,
49,Uruguay,URY,0,0,0,0,0.03,0.04,0.06,0.05,0.14,0.3,
50,Venezuela,VEN,0,0,0,0,0,0,0,0,0,0,
51,Virgin Islands,,0,0,0,0,0,0,0,0,0,0,0
52,Virgin Islands,,0,0,0,0,0,0,0,0,0,0,0
53,Europe,,18.72,25.76,33.96,48.17,72.5093,123.021,173.386,238.18,292.545,329.635,
54,Albania,ALB,0,0,0,0,0,0,0,0,0,0,
55,Austria,AUT,0.4,0.5,0.6,1.1,1.7,6.4,7.7,9.7,12.4,12.5,
56,Belgium,BEL,0,0,0,0,0,0.02,2,2.3,7.4,8.2,
57,Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,
58,Bulgaria,BGR,0,0,0,0,0,0.1,0.04,0.08,0.1,0.8,
59,Croatia,HRV,0,0,0,0,0,0,0.06,0.04,0.06,0.1,
60,Cyprus,CYP,0,0,0,0,0,0,0.02,0.31,0.33,0.33,
61,Czech Republic,CZE,1,1.4,1.4,0.7,0.1,0.44,0.704,2.8,4.9,5.8,
62,Denmark,DNK,0,0,0,0,0,0.1,0.2,0.205,0.3,1.1,
63,Faroe Islands,,0,0,0,0,0,0,0,0,0,0,
64,Finland,FIN,0,0.02,0.1,0.1,0,0.02,0.103,2.4,3.9,4.5,
65,Former Czechoslovakia,,--,--,--,--,--,--,--,--,--,--,
66,Former Serbia and Montenegro,,0,0,0,0,0,--,--,--,--,--,
67,Former Yugoslavia,,--,--,--,--,--,--,--,--,--,--,
68,France,FRA,7.86,8.32,7.57,8.18,9.52,18.4,34.3,54.6,59,55,
69,Germany,DEU,6.8,10.8,15.7,21.9,40.7,67,74,66,68,75.5,
70,Germany,DEU,--,--,--,--,--,--,--,--,--,--,--
71,Germany,DEU,--,--,--,--,--,--,--,--,--,--,--
72,Gibraltar,GIB,0,0,0,0,0,0,0,0,0,0,
73,Greece,GRC,0,0,0,0,0.06,1,1.9,1.5,1.7,2.8,
74,Hungary,HUN,0,0,0,0,0.1,0.407,0.94,4.2,4.3,4.1,
75,Iceland,ISL,0,0,0,0,0,0,0,0.005,0.005,0.005,
76,Ireland,IRL,0,0,0,0,0.0203,0.06,0.6,1.4,2,2,
77,Italy,ITA,0,0,0,5.6,4.1,4.6,4.2,16,27.3,34.7,
78,Luxembourg,LUX,0,0,0,0,0.01,0.01,0.73,0.83,0.92,0.92,
79,Macedonia,MKD,0,0,0,0,0,0,0,0.01,0.01,0.01,
80,Malta,MLT,0,0,0,0,0.016,0.018,0.039,0.02,0.01,0.02,
81,Montenegro,MNE,--,--,--,--,--,0,0,0,0,0,
82,Netherlands,NLD,0,0,0.07,0.07,0.05,1.09,7.8,7.57,9.8,6.6,
83,Norway,NOR,0,0,0,0.1,0.1,0.1,0.68,1.88,2.2,2.7,
84,Poland,POL,0,0,1,0.5,1.3,2.6,2.5,11,13,18,
85,Portugal,PRT,0,0,0,0,0.003,1.6,3,2.8,5,7,
86,Romania,ROU,0,0,0,0,0,0.5,0.9,2.6,4.7,5.5,
87,Serbia,SRB,--,--,--,--,--,0,0.5,1,1.5,1.5,
88,Slovakia,SVK,0.6,0.1,0.04,0.02,0.2,0.94,2,3.1,3.7,4,
89,Slovenia,SVN,0,0,0,0,0.11,0.096,0.31,0.57,0.68,1,
90,Spain,ESP,1.6,3.5,5,5.2,7.2,5.2,9.9,15,25,34,
91,Sweden,SWE,0.46,1.06,2.18,4.2,4.5,6.5,8.4,10.1,10,11,
92,Switzerland,CHE,0,0,0,0.1,0.12,0.22,0.26,0.26,0.13,0.25,
93,Turkey,TUR,0,0,0,0,0.5,1.1,1,1.1,0.7,0.7,
94,United Kingdom,GBR,0,0.06,0.3,0.4,2.1,4.5,8.6,18.8,23.5,29,
95,Eurasia,,0,0,0,0.02,0.235,0.594,1.3914,1.8886,1.98,2.6,
96,Armenia,ARM,0,0,0,0,0,0,0,0,0,0,
97,Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,
98,Belarus,BLR,0,0,0,0,0,0,0,0.2,0.5,0.7,
99,Estonia,EST,0,0,0,0,0,0.014,0.0114,0.108,0,0,
