,Unnamed: 0,Entity,Code,Year,Annual_biofuel_consumption,Continent
0,,Afghanistan,AFG,2000,0,Asia
1,,Afghanistan,AFG,2001,0,Asia
2,,Afghanistan,AFG,2002,0,Asia
3,,Afghanistan,AFG,2003,0,Asia
4,,Afghanistan,AFG,2004,0,Asia
5,,Afghanistan,AFG,2005,0,Asia
6,,Afghanistan,AFG,2006,0,Asia
7,,Afghanistan,AFG,2007,0,Asia
8,,Afghanistan,AFG,2008,0,Asia
9,,Afghanistan,AFG,2009,0,Asia
10,,Afghanistan,AFG,2010,0,Asia
11,,Albania,ALB,2000,0,Europe
12,,Albania,ALB,2001,0,Europe
13,,Albania,ALB,2002,0,Europe
14,,Albania,ALB,2003,0,Europe
15,,Albania,ALB,2004,0,Europe
16,,Albania,ALB,2005,0,Europe
17,,Albania,ALB,2006,0,Europe
18,,Albania,ALB,2007,0,Europe
19,,Albania,ALB,2008,0,Europe
20,,Albania,ALB,2009,0,Europe
21,,Albania,ALB,2010,0,Europe
22,,Algeria,DZA,2000,0,Africa
23,,Algeria,DZA,2001,0,Africa
24,,Algeria,DZA,2002,0,Africa
25,,Algeria,DZA,2003,0,Africa
26,,Algeria,DZA,2004,0,Africa
27,,Algeria,DZA,2005,0,Africa
28,,Algeria,DZA,2006,0,Africa
29,,Algeria,DZA,2007,0,Africa
30,,Algeria,DZA,2008,0,Africa
31,,Algeria,DZA,2009,0,Africa
32,,Algeria,DZA,2010,0,Africa
33,,Andorra,AND,2000,0,
34,,Andorra,AND,2001,0,
35,,Andorra,AND,2002,0,
36,,Andorra,AND,2003,0,
37,,Andorra,AND,2004,0,
38,,Andorra,AND,2005,0,
39,,Andorra,AND,2006,0,
40,,Andorra,AND,2007,0,
41,,Andorra,AND,2008,0,
42,,Andorra,AND,2009,0,
43,,Andorra,AND,2010,0,
44,,Angola,AGO,2000,0,Africa
45,,Angola,AGO,2001,0,Africa
46,,Angola,AGO,2002,0,Africa
47,,Angola,AGO,2003,0,Africa
48,,Angola,AGO,2004,0,Africa
49,,Angola,AGO,2005,0,Africa
50,,Angola,AGO,2006,0,Africa
51,,Angola,AGO,2007,0,Africa
52,,Angola,AGO,2008,0,Africa
53,,Angola,AGO,2009,0,Africa
54,,Angola,AGO,2010,0,Africa
55,,Anguilla,AIA,2000,0,
56,,Anguilla,AIA,2001,0,
57,,Anguilla,AIA,2002,0,
58,,Anguilla,AIA,2003,0,
59,,Anguilla,AIA,2004,0,
60,,Anguilla,AIA,2005,0,
61,,Anguilla,AIA,2006,0,
62,,Anguilla,AIA,2007,0,
63,,Anguilla,AIA,2008,0,
64,,Anguilla,AIA,2009,0,
65,,Anguilla,AIA,2010,0,
66,,Antigua and Barbuda,ATG,2000,0,North America
67,,Antigua and Barbuda,ATG,2001,0,North America
68,,Antigua and Barbuda,ATG,2002,0,North America
69,,Antigua and Barbuda,ATG,2003,0,North America
70,,Antigua and Barbuda,ATG,2004,0,North America
71,,Antigua and Barbuda,ATG,2005,0,North America
72,,Antigua and Barbuda,ATG,2006,0,North America
73,,Antigua and Barbuda,ATG,2007,0,North America
74,,Antigua and Barbuda,ATG,2008,0,North America
75,,Antigua and Barbuda,ATG,2009,0,North America
76,,Antigua and Barbuda,ATG,2010,0,North America
77,,Argentina,ARG,2000,0.2,South America
78,,Argentina,ARG,2001,0.2,South America
79,,Argentina,ARG,2002,0.2,South America
80,,Argentina,ARG,2003,0.2,South America
81,,Argentina,ARG,2004,0.3,South America
82,,Argentina,ARG,2005,0.3,South America
83,,Argentina,ARG,2006,0.3,South America
84,,Argentina,ARG,2007,0.3,South America
85,,Argentina,ARG,2008,0.55,South America
86,,Argentina,ARG,2009,11.9,South America
87,,Argentina,ARG,2010,0,South America
88,,Armenia,ARM,2000,0,Asia
89,,Armenia,ARM,2001,0,Asia
90,,Armenia,ARM,2002,0,Asia
91,,Armenia,ARM,2003,0,Asia
92,,Armenia,ARM,2004,0,Asia
93,,Armenia,ARM,2005,0,Asia
94,,Armenia,ARM,2006,0,Asia
95,,Armenia,ARM,2007,0,Asia
96,,Armenia,ARM,2008,0,Asia
97,,Armenia,ARM,2009,0,Asia
98,,Armenia,ARM,2010,0,Asia
99,,Aruba,ABW,2000,0,
100,,Aruba,ABW,2001,0,
101,,Aruba,ABW,2002,0,
102,,Aruba,ABW,2003,0,
103,,Aruba,ABW,2004,0,
104,,Aruba,ABW,2005,0,
105,,Aruba,ABW,2006,0,
106,,Aruba,ABW,2007,0,
107,,Aruba,ABW,2008,0,
108,,Aruba,ABW,2009,0,
109,,Aruba,ABW,2010,0,
110,,Australia,AUS,2000,0,Oceania
111,,Australia,AUS,2001,0,Oceania
112,,Australia,AUS,2002,0,Oceania
113,,Australia,AUS,2003,0.1,Oceania
114,,Australia,AUS,2004,0.7,Oceania
115,,Australia,AUS,2005,1.6,Oceania
