,Unnamed: 0,Entity,Code,Year,Annual_biofuel_production
0,,Afghanistan,AFG,2000,0
1,,Afghanistan,AFG,2001,0
2,,Afghanistan,AFG,2002,0
3,,Afghanistan,AFG,2003,0
4,,Afghanistan,AFG,2004,0
5,,Afghanistan,AFG,2005,0
6,,Afghanistan,AFG,2006,0
7,,Afghanistan,AFG,2007,0
8,,Afghanistan,AFG,2008,0
9,,Afghanistan,AFG,2009,0
10,,Afghanistan,AFG,2010,0
11,,Albania,ALB,2000,0
12,,Albania,ALB,2001,0
13,,Albania,ALB,2002,0
14,,Albania,ALB,2003,0
15,,Albania,ALB,2004,0
16,,Albania,ALB,2005,0
17,,Albania,ALB,2006,0
18,,Albania,ALB,2007,0
19,,Albania,ALB,2008,0
20,,Albania,ALB,2009,0
21,,Albania,ALB,2010,0
22,,Algeria,DZA,2000,0
23,,Algeria,DZA,2001,0
24,,Algeria,DZA,2002,0
25,,Algeria,DZA,2003,0
26,,Algeria,DZA,2004,0
27,,Algeria,DZA,2005,0
28,,Algeria,DZA,2006,0
29,,Algeria,DZA,2007,0
30,,Algeria,DZA,2008,0
31,,Algeria,DZA,2009,0
32,,Algeria,DZA,2010,0
33,,Andorra,AND,2000,0
34,,Andorra,AND,2001,0
35,,Andorra,AND,2002,0
36,,Andorra,AND,2003,0
37,,Andorra,AND,2004,0
38,,Andorra,AND,2005,0
39,,Andorra,AND,2006,0
40,,Andorra,AND,2007,0
41,,Andorra,AND,2008,0
42,,Andorra,AND,2009,0
43,,Andorra,AND,2010,0
44,,Angola,AGO,2000,0
45,,Angola,AGO,2001,0
46,,Angola,AGO,2002,0
47,,Angola,AGO,2003,0
48,,Angola,AGO,2004,0
49,,Angola,AGO,2005,0
50,,Angola,AGO,2006,0
51,,Angola,AGO,2007,0
52,,Angola,AGO,2008,0
53,,Angola,AGO,2009,0
54,,Angola,AGO,2010,0
55,,Anguilla,AIA,2000,0
56,,Anguilla,AIA,2001,0
57,,Anguilla,AIA,2002,0
58,,Anguilla,AIA,2003,0
59,,Anguilla,AIA,2004,0
60,,Anguilla,AIA,2005,0
61,,Anguilla,AIA,2006,0
62,,Anguilla,AIA,2007,0
63,,Anguilla,AIA,2008,0
64,,Anguilla,AIA,2009,0
65,,Anguilla,AIA,2010,0
66,,Antigua and Barbuda,ATG,2000,0
67,,Antigua and Barbuda,ATG,2001,0
68,,Antigua and Barbuda,ATG,2002,0
69,,Antigua and Barbuda,ATG,2003,0
70,,Antigua and Barbuda,ATG,2004,0
71,,Antigua and Barbuda,ATG,2005,0
72,,Antigua and Barbuda,ATG,2006,0
73,,Antigua and Barbuda,ATG,2007,0
74,,Antigua and Barbuda,ATG,2008,0
75,,Antigua and Barbuda,ATG,2009,0
76,,Antigua and Barbuda,ATG,2010,0
77,,Argentina,ARG,2000,0.2
78,,Argentina,ARG,2001,0.2
79,,Argentina,ARG,2002,0.2
80,,Argentina,ARG,2003,0.2
81,,Argentina,ARG,2004,0.2
82,,Argentina,ARG,2005,0.7
83,,Argentina,ARG,2006,3.9
84,,Argentina,ARG,2007,14.1
85,,Argentina,ARG,2008,23.5
86,,Argentina,ARG,2009,38.1
87,,Argentina,ARG,2010,0
88,,Armenia,ARM,2000,0
89,,Armenia,ARM,2001,0
90,,Armenia,ARM,2002,0
91,,Armenia,ARM,2003,0
92,,Armenia,ARM,2004,0
93,,Armenia,ARM,2005,0
94,,Armenia,ARM,2006,0
95,,Armenia,ARM,2007,0
96,,Armenia,ARM,2008,0
97,,Armenia,ARM,2009,0
98,,Armenia,ARM,2010,0
99,,Aruba,ABW,2000,0
100,,Aruba,ABW,2001,0
101,,Aruba,ABW,2002,0
